Fecha,Producto,Categoria,Canal,Precio_Unitario,Costo_Unitario,Cantidad
2024-01-01,Galletitas,Alimentos,Almacen,5000,3500,14
2024-01-01,Aceite 900ml,Alimentos,Mayorista,12000,9500,113
2024-01-01,Papel Higienico,Higiene,Almacen,18000,13000,118
2024-01-01,Papel Higienico,Higiene,Supermercado,18000,13000,59
2024-01-01,Detergente,Limpieza,Supermercado,7000,5000,19
2024-01-01,Arroz 1kg,Alimentos,Almacen,5500,4200,124
2024-01-01,Galletitas,Alimentos,Almacen,5000,3500,179
2024-01-01,Detergente,Limpieza,Mayorista,7000,5000,172
2024-01-01,Detergente,Limpieza,Mayorista,7000,5000,81
2024-01-01,Aceite 900ml,Alimentos,Mayorista,12000,9500,18
2024-01-01,Galletitas,Alimentos,Almacen,5000,3500,141
2024-01-01,Aceite 900ml,Alimentos,Almacen,12000,9500,16
2024-01-02,Shampoo,Higiene,Almacen,15000,11000,194
2024-01-02,Shampoo,Higiene,Supermercado,15000,11000,185
2024-01-02,Detergente,Limpieza,Supermercado,7000,5000,21
2024-01-02,Aceite 900ml,Alimentos,Supermercado,12000,9500,51
2024-01-02,Galletitas,Alimentos,Supermercado,5000,3500,49
2024-01-02,Lavandina,Limpieza,Almacen,4500,3000,170
2024-01-02,Aceite 900ml,Alimentos,Supermercado,12000,9500,20
2024-01-02,Lavandina,Limpieza,Almacen,4500,3000,61
2024-01-02,Papel Higienico,Higiene,Supermercado,18000,13000,15
2024-01-02,Lavandina,Limpieza,Almacen,4500,3000,65
2024-01-02,Lavandina,Limpieza,Almacen,4500,3000,35
2024-01-03,Arroz 1kg,Alimentos,Almacen,5500,4200,64
2024-01-03,Galletitas,Alimentos,Supermercado,5000,3500,177
2024-01-03,Detergente,Limpieza,Mayorista,7000,5000,195
2024-01-03,Papel Higienico,Higiene,Mayorista,18000,13000,133
2024-01-03,Lavandina,Limpieza,Almacen,4500,3000,200
2024-01-04,Lavandina,Limpieza,Supermercado,4500,3000,129
2024-01-04,Detergente,Limpieza,Mayorista,7000,5000,197
2024-01-04,Shampoo,Higiene,Mayorista,15000,11000,173
2024-01-04,Shampoo,Higiene,Mayorista,15000,11000,172
2024-01-04,Lavandina,Limpieza,Almacen,4500,3000,185
2024-01-04,Detergente,Limpieza,Mayorista,7000,5000,95
2024-01-04,Shampoo,Higiene,Supermercado,15000,11000,155
2024-01-05,Arroz 1kg,Alimentos,Mayorista,5500,4200,195
2024-01-05,Shampoo,Higiene,Mayorista,15000,11000,120
2024-01-05,Lavandina,Limpieza,Supermercado,4500,3000,62
2024-01-05,Galletitas,Alimentos,Almacen,5000,3500,139
2024-01-05,Detergente,Limpieza,Almacen,7000,5000,14
2024-01-06,Papel Higienico,Higiene,Supermercado,18000,13000,17
2024-01-06,Detergente,Limpieza,Mayorista,7000,5000,127
2024-01-06,Aceite 900ml,Alimentos,Almacen,12000,9500,196
2024-01-06,Arroz 1kg,Alimentos,Supermercado,5500,4200,87
2024-01-06,Papel Higienico,Higiene,Almacen,18000,13000,192
2024-01-06,Detergente,Limpieza,Supermercado,7000,5000,90
2024-01-06,Lavandina,Limpieza,Mayorista,4500,3000,155
2024-01-06,Galletitas,Alimentos,Almacen,5000,3500,146
2024-01-06,Detergente,Limpieza,Almacen,7000,5000,119
2024-01-06,Shampoo,Higiene,Mayorista,15000,11000,102
2024-01-06,Lavandina,Limpieza,Almacen,4500,3000,46
2024-01-06,Lavandina,Limpieza,Almacen,4500,3000,160
2024-01-07,Aceite 900ml,Alimentos,Mayorista,12000,9500,155
2024-01-07,Shampoo,Higiene,Mayorista,15000,11000,142
2024-01-07,Papel Higienico,Higiene,Mayorista,18000,13000,160
2024-01-07,Papel Higienico,Higiene,Supermercado,18000,13000,151
2024-01-07,Detergente,Limpieza,Supermercado,7000,5000,83
2024-01-08,Papel Higienico,Higiene,Almacen,18000,13000,50
2024-01-08,Galletitas,Alimentos,Supermercado,5000,3500,75
2024-01-08,Papel Higienico,Higiene,Supermercado,18000,13000,26
2024-01-08,Shampoo,Higiene,Almacen,15000,11000,31
2024-01-08,Arroz 1kg,Alimentos,Mayorista,5500,4200,45
2024-01-08,Detergente,Limpieza,Almacen,7000,5000,183
2024-01-08,Detergente,Limpieza,Almacen,7000,5000,57
2024-01-09,Galletitas,Alimentos,Mayorista,5000,3500,150
2024-01-09,Galletitas,Alimentos,Supermercado,5000,3500,20
2024-01-09,Aceite 900ml,Alimentos,Supermercado,12000,9500,24
2024-01-09,Lavandina,Limpieza,Almacen,4500,3000,118
2024-01-09,Galletitas,Alimentos,Supermercado,5000,3500,41
2024-01-09,Lavandina,Limpieza,Mayorista,4500,3000,40
2024-01-09,Papel Higienico,Higiene,Almacen,18000,13000,123
2024-01-10,Aceite 900ml,Alimentos,Supermercado,12000,9500,199
2024-01-10,Lavandina,Limpieza,Mayorista,4500,3000,170
2024-01-10,Shampoo,Higiene,Mayorista,15000,11000,178
2024-01-10,Arroz 1kg,Alimentos,Mayorista,5500,4200,42
2024-01-10,Shampoo,Higiene,Supermercado,15000,11000,61
2024-01-11,Galletitas,Alimentos,Supermercado,5000,3500,102
2024-01-11,Shampoo,Higiene,Supermercado,15000,11000,103
2024-01-11,Lavandina,Limpieza,Almacen,4500,3000,65
